Statement,Speaker,Rating,Date,BinaryTarget
Vocational training helps students develop practical skills for real-world jobs.,Arun Patel,High,2025-04-28,1
The use of artificial intelligence is transforming modern education systems.,Dr. Meera Sharma,Low,2025-09-05,0
Modern classrooms are adopting smart boards and interactive learning tools.,Dr. Neha Verma,Medium,2024-10-31,0
Digital libraries have replaced traditional ones in many universities.,Arun Patel,Medium,2025-04-19,0
The use of artificial intelligence is transforming modern education systems.,Dr. Neha Verma,Medium,2024-10-26,1
Online learning has made education accessible to students in remote areas.,Mohit Agarwal,High,2025-07-04,1
Online learning has made education accessible to students in remote areas.,Dr. Meera Sharma,Medium,2025-05-16,0
Modern classrooms are adopting smart boards and interactive learning tools.,Dr. Neha Verma,Low,2024-12-31,1
The use of artificial intelligence is transforming modern education systems.,Dr. Neha Verma,Low,2025-03-26,1
Digital libraries have replaced traditional ones in many universities.,Sandeep Reddy,High,2025-04-21,0
Digital libraries have replaced traditional ones in many universities.,Mohit Agarwal,Low,2025-09-06,1
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Dr. Neha Verma,Low,2025-07-29,1
Vocational training helps students develop practical skills for real-world jobs.,Mohit Agarwal,High,2025-06-10,0
Online learning has made education accessible to students in remote areas.,Arun Patel,Low,2025-08-25,0
"Education should focus on creativity and critical thinking, not just memorization.",Rita Sahu,Low,2025-04-12,0
Scholarships and financial aid allow talented students to pursue higher studies.,Prof. Rajesh Kumar,High,2025-01-25,1
Online learning has made education accessible to students in remote areas.,Anita Desai,Low,2025-07-18,1
Digital libraries have replaced traditional ones in many universities.,Kiran Bhatia,Medium,2025-09-16,0
Scholarships and financial aid allow talented students to pursue higher studies.,Dr. Meera Sharma,Low,2025-02-12,1
Students learn better when education is connected to real-life applications.,Arun Patel,Low,2025-05-08,1
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Sandeep Reddy,Medium,2025-07-30,0
Scholarships and financial aid allow talented students to pursue higher studies.,Dr. Neha Verma,High,2025-06-08,1
The use of artificial intelligence is transforming modern education systems.,Dr. Neha Verma,Low,2025-06-19,0
Students learn better when education is connected to real-life applications.,Rita Sahu,High,2024-11-28,1
The use of artificial intelligence is transforming modern education systems.,Rita Sahu,High,2024-10-11,1
Teachers play a key role in shaping the minds and values of future generations.,Vikas Menon,Medium,2025-05-20,1
Teachers play a key role in shaping the minds and values of future generations.,Vikas Menon,High,2025-07-06,1
Teachers play a key role in shaping the minds and values of future generations.,Prof. Rajesh Kumar,Low,2025-03-23,1
Scholarships and financial aid allow talented students to pursue higher studies.,Dr. Neha Verma,Low,2025-03-17,1
The use of artificial intelligence is transforming modern education systems.,Kiran Bhatia,Low,2025-02-06,0
Modern classrooms are adopting smart boards and interactive learning tools.,Dr. Meera Sharma,High,2024-10-31,1
Scholarships and financial aid allow talented students to pursue higher studies.,Dr. Meera Sharma,Low,2025-02-16,0
Vocational training helps students develop practical skills for real-world jobs.,Prof. Rajesh Kumar,High,2025-05-05,0
Students learn better when education is connected to real-life applications.,Dr. Meera Sharma,Low,2025-06-07,0
Online learning has made education accessible to students in remote areas.,Dr. Neha Verma,High,2025-01-31,0
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Dr. Neha Verma,Low,2025-08-05,0
Scholarships and financial aid allow talented students to pursue higher studies.,Kiran Bhatia,High,2024-12-24,1
Modern classrooms are adopting smart boards and interactive learning tools.,Mohit Agarwal,Medium,2025-07-12,1
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Sandeep Reddy,Low,2025-04-27,1
Online learning has made education accessible to students in remote areas.,Dr. Neha Verma,High,2025-04-15,1
Digital libraries have replaced traditional ones in many universities.,Vikas Menon,High,2025-01-30,0
"Education should focus on creativity and critical thinking, not just memorization.",Arun Patel,Medium,2024-12-22,0
The use of artificial intelligence is transforming modern education systems.,Prof. Rajesh Kumar,Low,2025-01-16,0
The use of artificial intelligence is transforming modern education systems.,Dr. Neha Verma,Medium,2025-03-18,1
Scholarships and financial aid allow talented students to pursue higher studies.,Sandeep Reddy,Medium,2025-06-21,0
The use of artificial intelligence is transforming modern education systems.,Prof. Rajesh Kumar,High,2025-07-05,1
Online learning has made education accessible to students in remote areas.,Dr. Neha Verma,Medium,2024-11-22,0
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Arun Patel,Medium,2025-01-05,0
Scholarships and financial aid allow talented students to pursue higher studies.,Rita Sahu,Medium,2025-05-12,0
Online learning has made education accessible to students in remote areas.,Kiran Bhatia,High,2025-07-07,1
Digital libraries have replaced traditional ones in many universities.,Anita Desai,Medium,2025-03-15,1
Scholarships and financial aid allow talented students to pursue higher studies.,Anita Desai,Low,2025-08-28,1
Online learning has made education accessible to students in remote areas.,Sandeep Reddy,Medium,2025-01-19,0
Vocational training helps students develop practical skills for real-world jobs.,Sandeep Reddy,Low,2024-10-19,0
Scholarships and financial aid allow talented students to pursue higher studies.,Sandeep Reddy,Medium,2025-01-16,1
Modern classrooms are adopting smart boards and interactive learning tools.,Rita Sahu,Medium,2025-02-12,1
Vocational training helps students develop practical skills for real-world jobs.,Rita Sahu,High,2025-09-11,1
Modern classrooms are adopting smart boards and interactive learning tools.,Rita Sahu,Low,2025-09-24,1
Digital libraries have replaced traditional ones in many universities.,Mohit Agarwal,Medium,2025-01-20,0
Students learn better when education is connected to real-life applications.,Dr. Neha Verma,Medium,2025-06-06,1
The use of artificial intelligence is transforming modern education systems.,Vikas Menon,Low,2024-12-16,0
Modern classrooms are adopting smart boards and interactive learning tools.,Kiran Bhatia,High,2025-06-17,0
"Education should focus on creativity and critical thinking, not just memorization.",Vikas Menon,Low,2025-02-04,1
Students learn better when education is connected to real-life applications.,Dr. Neha Verma,Medium,2025-02-06,1
Online learning has made education accessible to students in remote areas.,Sandeep Reddy,Low,2025-07-24,0
Vocational training helps students develop practical skills for real-world jobs.,Sandeep Reddy,Medium,2024-12-02,1
The use of artificial intelligence is transforming modern education systems.,Arun Patel,Medium,2024-12-17,1
Vocational training helps students develop practical skills for real-world jobs.,Rita Sahu,High,2025-09-11,1
Modern classrooms are adopting smart boards and interactive learning tools.,Dr. Neha Verma,High,2025-03-18,1
Digital libraries have replaced traditional ones in many universities.,Anita Desai,Medium,2025-02-17,1
Online learning has made education accessible to students in remote areas.,Anita Desai,High,2025-03-22,1
Online learning has made education accessible to students in remote areas.,Sandeep Reddy,Medium,2025-02-01,0
Digital libraries have replaced traditional ones in many universities.,Prof. Rajesh Kumar,Low,2025-09-22,1
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Mohit Agarwal,Medium,2024-10-13,1
Online learning has made education accessible to students in remote areas.,Sandeep Reddy,High,2025-08-15,1
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Sandeep Reddy,Medium,2025-07-30,0
Vocational training helps students develop practical skills for real-world jobs.,Mohit Agarwal,Low,2025-09-16,0
Teachers play a key role in shaping the minds and values of future generations.,Dr. Meera Sharma,Low,2024-12-14,1
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Kiran Bhatia,High,2025-09-09,1
Modern classrooms are adopting smart boards and interactive learning tools.,Rita Sahu,Medium,2025-08-04,1
Students learn better when education is connected to real-life applications.,Anita Desai,High,2024-12-07,0
Digital libraries have replaced traditional ones in many universities.,Rita Sahu,Medium,2024-11-11,0
Online learning has made education accessible to students in remote areas.,Dr. Neha Verma,Low,2025-06-08,1
Students learn better when education is connected to real-life applications.,Sandeep Reddy,High,2024-12-27,1
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Mohit Agarwal,Low,2025-02-21,1
Students learn better when education is connected to real-life applications.,Sandeep Reddy,Low,2025-08-24,1
Vocational training helps students develop practical skills for real-world jobs.,Mohit Agarwal,High,2025-06-10,0
Students learn better when education is connected to real-life applications.,Vikas Menon,Medium,2024-12-30,1
The use of artificial intelligence is transforming modern education systems.,Rita Sahu,Low,2024-12-16,1
Students learn better when education is connected to real-life applications.,Kiran Bhatia,Low,2025-05-07,0
